Comune;Slug;Frazioni_alias;Sito_candidato;Sito_IPA_verificato;Numero_Pro_Loco_candidate;Pro_Loco_candidate;Stato_iniziale;Nota
Alessano;alessano;Montesardo;https://www.comune.alessano.le.it/;NO;1;Pro Loco Alessano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Alezio;alezio;;https://www.comune.alezio.le.it/;NO;1;Pro Loco Alezio;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Alliste;alliste;Felline | Capilungo | Posto Rosso;https://www.comune.alliste.le.it/;NO;2;Pro Loco Alliste-Felline (Felline) | Pro Loco Capilungo APS (Capilungo);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Andrano;andrano;Castiglione d’Otranto | Marina di Andrano;https://www.comune.andrano.le.it/;NO;1;Pro Loco Andrano;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Aradeo;aradeo;;https://www.comune.aradeo.le.it/;NO;1;Nuova Pro Loco Aradeo;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Arnesano;arnesano;;https://www.comune.arnesano.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Bagnolo del Salento;bagnolo-del-salento;;https://www.comune.bagnolodelsalento.le.it/;NO;1;Pro Loco Bagnolo del Salento;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Botrugno;botrugno;;https://www.comune.botrugno.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Calimera;calimera;;https://www.comune.calimera.le.it/;NO;1;Pro Loco Kalimera;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Campi Salentina;campi-salentina;;https://www.comune.campisalentina.le.it/;NO;1;Pro Loco Campi Salentina;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Cannole;cannole;;https://www.comune.cannole.le.it/;NO;1;Pro Loco Cerceto-Cannole (Cerceto);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Caprarica di Lecce;caprarica-di-lecce;;https://www.comune.capraricadilecce.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Carmiano;carmiano;Magliano;https://www.comune.carmiano.le.it/;NO;1;Pro Loco Carmiano Magliano (Magliano);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Carpignano Salentino;carpignano-salentino;;https://www.comune.carpignanosalentino.le.it/;NO;2;Pro Loco Carpignano Salentino | Pro Loco Serrano (Serrano);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Casarano;casarano;;https://www.comune.casarano.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Castrì di Lecce;castri-di-lecce;;https://www.comune.castridilecce.le.it/;NO;1;Pro Loco Castrì di Lecce;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Castrignano del Capo;castrignano-del-capo;;https://www.comune.castrignanodelcapo.le.it/;NO;1;Pro Loco Leuca (Santa Maria di Leuca);DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
Castrignano de’ Greci;castrignano-de-greci;;https://www.comune.castrignanodeigreci.le.it/;NO;0;;DA ATTIVARE;Lo stato reale viene calcolato dopo bootstrap, IPA e primi cicli di acquisizione.
